25 193
28 66 45
15 62 89
6 53 10
33 26 42
21 27 10
6 39 19
45 53 92
36 55 44
23 12 56
5 26 13
33 47 57
7 2 57
30 3 4
3 36 9
37 19 18
39 17 33
35 30 46
14 37 72
6 53 10
9 60 72
28 48 18
15 49 68
24 39 56
24 35 3
66 2 22
47 28 52
48 11 83
37 9 97
62 46 20
67 12 68
20 14 30
47 38 49
13 5 30
2 16 94
10 21 28
30 66 70
9 47 49
38 23 32
41 33 40
18 12 84
7 32 64
16 50 34
6 44 70
49 13 13
68 54 90
48 52 55
16 33 0
39 43 73
18 29 90
46 19 67
12 21 44
7 5 42
17 21 79
44 25 26
54 13 77
65 39 22
59 28 51
11 58 34
58 24 10
32 23 15
21 50 58
8 18 8
6 13 88
66 49 0
45 38 0
37 67 53
1 67 54
42 32 42
7 5 36
20 30 43
68 64 57
67 17 60
36 58 81
65 42 90
41 18 54
17 66 24
4 66 63
30 17 3
49 63 4
4 2 96
45 1 46
8 33 4
49 42 26
33 4 51
43 38 71
12 21 46
33 11 94
4 28 62
48 20 71
67 11 11
66 28 67
40 65 66
35 64 9
48 44 43
56 26 24
34 66 30
52 3 5
29 9 71
43 64 85
33 59 89
64 61 24
41 46 78
45 68 9
24 14 43
24 25 31
67 3 4
15 28 62
47 35 19
19 44 79
4 61 72
65 55 49
2 57 50
5 58 39
34 47 30
10 13 1
43 8 61
8 17 49
57 10 63
41 32 15
48 1 63
51 37 31
5 59 77
58 39 45
13 1 6
6 19 94
18 60 86
52 56 56
67 10 38
36 57 1
60 68 28
47 25 48
21 50 49
5 48 39
0 24 47
38 5 2
18 42 98
47 31 24
35 47 37
17 58 97
23 36 64
41 18 55
8 32 0
17 35 79
10 4 94
20 39 61
24 17 89
49 1 79
30 34 70
28 8 57
59 31 76
58 10 92
20 34 79
41 57 39
19 3 19
52 54 92
22 28 56
49 22 95
27 32 53
1 66 39
21 20 46
64 22 48
36 20 17
26 31 0
22 66 90
2 42 59
5 49 76
53 68 38
52 33 45
66 63 26
36 53 88
38 33 28
3 13 49
3 59 38
17 41 22
1 36 82
34 67 93
0 61 88
32 34 94
31 49 8
34 9 87
38 20 28
0 19 79
47 14 94
27 26 20
7 23 54
54 20 1
51 6 44
49 14 88
63 39 26
58 40 45
41 27 21
22 42 31
38 28 94
20 63 5
10 6 6
29 53 29
52 56 16
44 17 55
43 29 22
19 42 39
36 24 57
62 63 82
34 5 85
17 31 12
19 64 3
62 29 39
19 38 83
42 22 2
27 31 20
29 56 48
17 3 15
50 30 25
62 11 97
62 65 43
35 8 31
4 64 22
26 34 76
45 19 73
35 53 14
15 60 69
60 29 78
44 6 86
54 56 81
58 49 21
32 9 37
112 5414
62 108 10
61 49 14
89 30 72
70 15 61
53 102 43
82 38 73
32 105 81
59 72 25
12 37 69
38 111 31
16 77 17
68 84 62
56 110 23
10 47 47
80 99 75
52 57 1
71 8 45
86 96 68
91 26 84
3 101 26
95 105 99
47 8 38
4 36 98
110 0 9
70 103 89
78 62 55
95 67 64
99 82 74
57 1 30
32 2 42
51 41 61
95 109 72
33 95 83
22 67 47
67 99 93
79 29 94
73 69 69
3 35 10
84 104 72
88 51 79
19 7 38
20 110 17
96 26 26
27 8 49
32 17 93
56 48 18
64 65 44
64 70 74
103 78 81
53 45 30
16 88 57
101 11 43
85 107 73
75 98 88
4 61 89
28 78 48
27 32 14
33 17 5
47 65 15
7 27 37
78 98 49
33 50 85
44 81 39
25 3 30
16 81 93
26 13 48
30 72 74
66 52 14
69 80 32
9 13 48
58 27 90
30 0 16
9 14 15
59 23 51
76 39 22
99 1 87
5 40 8
43 97 19
45 18 98
94 97 44
24 33 48
28 87 73
43 20 73
96 111 17
58 24 42
10 95 84
59 40 60
98 22 93
84 12 66
11 36 69
98 44 96
11 31 59
5 39 32
5 72 72
25 106 4
97 110 20
87 75 12
3 75 49
6 42 76
108 33 45
54 69 78
32 61 82
77 101 83
28 11 20
102 72 11
8 7 0
47 25 33
59 10 73
96 57 90
47 83 64
98 69 52
70 64 66
59 102 18
58 42 22
42 111 84
80 88 50
76 103 25
27 29 80
17 111 89
50 21 90
6 3 8
68 37 90
97 13 26
105 26 17
73 33 31
64 96 81
64 79 69
72 77 28
60 3 34
40 66 71
84 41 13
0 63 68
80 106 85
89 29 57
44 22 50
4 63 50
92 20 47
54 56 79
92 9 73
3 65 92
42 94 25
94 49 41
20 108 1
50 94 85
53 17 8
82 56 51
48 97 68
104 49 19
8 83 39
88 20 24
45 7 40
39 36 3
25 83 77
63 61 79
48 81 2
12 72 53
97 19 50
89 29 75
37 96 19
62 105 18
19 55 25
31 12 31
91 36 60
8 22 3
16 19 71
9 19 22
85 23 99
12 55 99
32 30 5
65 80 38
98 14 7
13 80 28
36 38 11
108 79 34
20 101 99
17 43 98
48 87 20
60 65 58
86 62 87
72 26 42
46 85 62
93 14 17
47 30 22
4 18 51
101 74 7
1 93 18
108 12 77
110 44 96
0 6 83
66 60 46
83 110 50
58 93 98
99 57 30
28 35 10
42 58 86
80 30 39
64 71 34
61 75 52
13 94 44
46 110 64
31 32 21
67 36 73
71 5 6
38 76 88
99 82 53
88 59 59
97 15 94
25 31 69
37 25 0
97 100 39
4 94 14
51 59 15
74 20 23
16 56 25
13 110 54
36 102 82
72 73 41
80 62 53
38 7 37
66 28 98
43 14 8
95 87 10
12 96 33
88 87 35
34 6 86
71 93 72
7 93 34
10 69 2
44 90 65
49 55 12
108 69 59
47 43 13
104 13 48
96 51 36
42 102 1
79 0 11
31 0 35
80 38 11
71 95 46
53 64 12
87 76 90
84 12 42
46 85 96
22 36 24
94 38 23
54 0 31
80 102 76
87 99 85
72 37 42
48 81 32
44 35 99
37 95 72
30 103 23
82 105 1
68 67 64
7 86 57
93 75 20
52 97 23
38 26 16
71 92 45
15 80 72
19 45 96
107 96 86
6 25 12
48 51 68
64 72 47
72 70 9
102 77 89
56 110 4
26 53 22
23 58 77
41 5 42
73 21 46
86 27 76
41 83 64
79 80 50
78 83 24
29 67 13
83 48 91
70 26 6
24 73 72
43 8 36
10 34 81
82 28 80
12 47 34
16 67 38
36 98 14
101 87 54
5 107 50
38 73 54
68 53 12
65 20 19
91 7 47
58 59 70
41 3 63
64 17 6
22 88 99
16 33 86
108 30 44
13 17 83
90 2 65
87 58 45
61 24 10
3 73 55
87 95 25
51 76 91
33 5 68
108 75 59
85 7 48
96 11 30
2 71 98
109 41 56
18 50 32
108 49 17
59 96 75
6 31 71
33 65 70
101 98 62
38 89 20
94 53 37
88 83 8
105 82 9
44 105 27
83 57 75
28 75 66
21 29 98
49 25 3
8 109 83
68 88 50
108 73 77
98 43 56
95 74 90
96 21 79
0 18 65
4 3 12
15 41 10
77 39 9
23 11 65
81 22 33
71 65 29
64 30 76
76 38 95
26 38 18
89 90 84
35 107 48
62 39 11
60 103 56
75 53 54
56 57 23
62 66 33
104 20 25
111 109 40
64 110 94
73 55 5
12 50 30
26 71 37
79 57 40
93 78 55
79 13 6
74 26 12
23 46 59
64 108 38
5 25 59
41 19 11
23 69 97
4 106 2
72 8 15
71 80 23
7 42 72
62 21 82
70 35 88
13 46 26
90 69 11
77 30 96
21 59 22
37 73 45
7 18 14
79 39 67
25 22 34
61 40 63
93 35 48
7 0 83
5 78 5
82 75 59
106 74 40
2 20 33
30 109 51
82 58 97
111 92 22
81 60 59
15 93 94
67 84 16
43 23 44
8 55 11
82 99 63
88 56 76
90 93 13
92 108 71
5 20 8
57 43 96
1 13 0
37 4 56
23 103 14
63 84 31
87 91 18
0 105 21
33 78 9
84 67 46
97 85 46
92 84 57
7 12 10
22 31 16
60 86 19
38 92 65
53 77 26
11 67 54
49 31 52
102 85 2
37 87 91
31 55 29
16 15 2
82 28 70
36 97 97
6 60 0
16 56 16
69 23 5
54 105 61
53 75 85
57 88 99
85 2 87
65 26 13
22 46 26
91 56 29
55 13 91
78 47 70
14 41 24
80 29 36
72 105 45
4 31 85
53 107 40
85 97 54
35 74 25
86 61 20
26 103 19
47 69 46
96 79 57
4 68 56
8 23 76
80 77 83
24 38 93
39 22 45
49 72 8
33 16 99
43 51 6
78 87 26
45 87 78
66 67 21
35 39 13
109 65 11
55 98 97
6 105 15
17 21 94
12 93 89
92 83 28
67 49 61
88 106 94
35 9 69
63 44 29
4 50 30
73 41 11
8 66 72
53 29 30
66 45 23
102 44 64
59 96 16
73 59 68
16 85 52
85 7 19
51 58 62
40 60 71
40 108 43
14 75 11
95 71 84
46 24 20
53 2 69
95 37 2
99 74 64
42 69 88
17 49 20
1 27 53
35 17 12
91 101 47
53 96 35
33 11 74
54 15 30
43 101 28
5 104 48
18 105 93
49 50 83
97 44 92
13 12 22
21 61 36
6 7 87
12 53 55
52 110 56
35 80 93
96 34 12
67 66 19
20 100 81
42 73 78
85 50 59
18 102 58
91 81 50
75 96 60
32 10 88
70 38 64
25 39 6
110 70 70
81 51 28
33 37 45
111 49 33
67 86 25
11 38 26
96 81 8
40 103 65
82 101 25
32 62 80
49 54 55
94 98 81
101 42 43
68 18 44
26 103 39
52 23 36
9 98 94
100 56 44
29 60 58
84 105 35
77 42 88
26 46 6
111 35 45
77 30 23
42 66 65
7 107 73
80 30 68
34 27 73
41 35 91
100 42 93
92 61 97
26 19 43
58 37 65
78 111 41
71 65 36
87 34 81
105 71 26
84 107 96
31 6 77
45 79 46
19 84 79
56 18 25
98 68 88
42 104 6
47 7 49
7 85 61
40 41 74
85 79 88
1 98 61
46 18 39
35 45 65
92 106 51
48 105 38
51 15 26
107 59 61
86 64 33
32 62 76
84 14 8
62 47 18
9 70 41
66 33 67
70 35 95
76 10 24
49 66 92
16 94 15
5 89 86
56 55 14
71 30 80
45 10 40
28 76 62
98 32 15
1 101 97
33 100 98
41 56 34
90 9 14
36 84 64
59 108 18
56 54 56
70 15 0
91 79 81
104 75 69
33 64 18
107 22 89
106 93 0
89 103 66
104 82 53
66 53 92
44 85 85
9 73 95
104 105 66
9 87 80
45 47 46
68 53 36
4 48 27
98 8 55
77 95 45
92 61 40
98 94 13
34 97 27
26 99 59
77 27 54
78 100 52
55 57 65
32 21 60
25 49 96
32 43 59
35 18 43
56 67 69
86 55 75
65 99 30
16 36 80
99 52 61
43 72 98
24 30 91
97 81 85
73 109 43
3 17 41
37 35 18
63 93 72
26 90 45
81 31 74
80 71 73
109 17 10
89 32 74
42 28 60
8 79 71
107 51 76
8 22 18
105 31 12
66 104 39
94 108 78
44 75 9
36 85 4
53 48 90
24 96 47
22 42 93
68 55 32
23 39 51
76 75 29
2 18 37
11 98 28
96 70 28
81 5 61
8 106 94
86 69 88
80 88 42
16 27 79
37 104 84
74 19 66
6 94 9
96 48 3
109 58 54
36 109 82
7 20 53
101 104 48
56 22 99
33 66 44
79 90 53
1 88 91
111 4 43
100 30 19
49 37 71
74 21 93
73 51 15
63 85 47
94 77 65
19 30 74
62 81 53
81 67 1
45 8 91
63 32 1
110 91 54
38 25 56
79 28 57
7 13 64
39 59 45
37 62 75
84 43 84
4 48 41
26 57 42
11 56 50
7 62 14
80 41 88
33 66 44
109 93 25
41 29 44
46 41 17
88 30 61
100 99 47
5 78 4
81 50 54
13 37 48
26 104 9
25 65 35
18 6 18
77 72 44
24 70 39
70 69 67
19 33 1
20 85 92
59 31 93
27 59 27
56 12 58
89 59 95
51 106 63
91 97 13
61 88 75
76 102 39
36 111 3
64 2 69
26 45 84
53 12 5
65 61 16
35 81 61
90 53 16
66 30 32
42 29 84
51 109 47
83 64 34
100 66 11
95 58 54
87 38 80
40 110 59
15 4 97
20 56 74
41 38 27
65 92 38
53 5 4
109 54 99
55 100 74
4 84 48
54 98 6
13 89 83
64 91 10
20 109 38
62 47 61
95 15 42
80 48 24
111 35 97
18 5 82
62 69 0
17 25 65
13 76 60
80 78 1
104 13 97
88 97 26
108 111 94
107 40 52
5 72 71
48 64 5
17 58 43
104 95 49
110 84 40
31 64 61
96 7 81
33 30 13
17 26 14
90 34 73
68 99 72
91 37 88
42 14 39
78 56 61
97 52 67
14 85 7
100 28 58
21 4 9
47 14 39
40 49 78
101 100 5
42 22 75
57 73 10
22 52 19
32 90 46
99 60 99
90 89 24
105 41 27
60 85 96
80 91 70
1 20 70
57 79 0
59 10 50
29 50 88
67 49 56
1 82 20
93 12 95
105 38 72
71 42 93
14 78 18
12 90 89
42 0 55
22 103 26
13 54 63
25 77 60
87 59 68
24 28 35
72 90 75
108 84 16
88 67 7
84 10 22
85 95 66
97 86 27
21 111 56
7 55 95
68 96 18
22 60 45
64 56 8
29 66 54
11 90 83
58 49 58
25 74 31
37 110 0
23 45 34
87 63 18
37 16 9
22 97 80
57 53 87
73 31 91
19 37 43
39 65 38
83 48 2
16 21 8
68 13 10
100 3 34
86 82 6
104 77 70
78 58 67
52 9 67
66 76 58
64 30 96
20 83 98
111 46 67
80 51 0
0 17 49
12 103 69
85 8 95
71 69 39
107 86 30
54 56 31
17 34 72
82 61 7
77 108 46
109 60 31
100 108 56
18 30 9
103 68 77
53 69 8
85 56 20
78 22 51
61 41 25
40 24 84
30 75 64
60 50 3
10 101 61
5 51 29
9 5 61
82 103 32
50 107 76
111 1 27
33 102 35
38 88 91
93 52 46
70 96 79
45 103 54
102 91 16
12 97 10
13 42 25
95 89 78
60 62 5
109 36 95
81 104 6
35 21 51
74 94 90
1 68 69
89 59 57
106 103 43
22 47 49
53 19 36
8 77 4
77 81 12
91 31 67
6 85 8
35 29 34
6 97 79
100 45 27
6 56 21
24 64 41
82 56 35
93 32 17
35 2 95
85 75 38
91 47 47
0 73 52
0 52 10
25 102 29
26 79 46
49 17 6
83 49 26
35 3 8
97 5 60
47 55 82
54 67 45
12 5 34
62 6 47
95 73 57
66 18 39
10 36 9
18 62 81
95 76 93
62 74 80
106 5 34
42 56 76
92 62 63
15 32 93
2 14 57
13 50 60
24 0 23
47 57 0
26 48 90
75 55 92
4 56 78
40 111 30
46 54 50
62 81 12
13 12 51
18 73 48
90 66 74
1 99 64
95 35 87
65 78 95
41 48 46
87 72 62
59 13 69
67 109 16
83 90 18
30 35 63
62 91 6
13 69 99
74 3 96
10 74 56
24 32 15
110 68 95
56 88 37
6 24 12
45 62 16
20 6 56
15 24 41
77 55 78
4 53 95
3 68 31
38 109 43
79 48 55
81 109 62
92 62 82
100 76 34
54 56 45
105 45 14
66 78 92
36 79 63
95 63 92
106 92 79
32 52 7
108 58 71
13 79 79
13 28 97
16 25 71
51 60 57
22 0 10
78 85 49
39 41 22
83 52 97
25 34 50
24 85 97
109 11 69
2 27 92
95 67 70
90 9 9
82 8 4
7 55 56
14 85 59
8 15 64
85 16 56
85 37 78
29 17 6
42 14 83
91 10 49
10 86 7
30 67 4
23 35 3
2 110 23
105 108 27
47 26 44
71 17 50
78 38 69
48 8 63
69 68 77
47 44 40
86 58 75
77 105 32
12 111 62
47 41 83
5 18 85
18 27 75
54 66 20
95 92 94
49 46 58
31 1 6
71 18 80
32 86 14
33 10 47
39 105 40
66 41 30
70 19 79
24 68 53
3 84 13
43 42 34
43 69 94
65 103 59
92 38 29
97 88 13
102 39 40
78 90 92
61 104 22
47 77 0
34 89 67
73 57 90
61 95 69
86 95 94
83 12 9
93 60 51
34 96 54
17 21 32
42 50 93
26 14 85
26 92 25
62 48 51
2 60 66
28 30 70
92 42 64
13 41 15
8 52 67
41 89 99
61 51 4
79 93 78
46 95 38
96 32 43
59 40 50
18 77 28
79 11 20
12 99 65
110 68 33
34 109 43
2 70 7
88 18 26
20 71 38
35 107 8
52 85 64
31 28 44
86 56 15
18 13 95
66 45 96
92 44 8
111 104 53
81 36 8
45 37 67
72 73 4
82 81 20
9 19 0
81 65 75
21 49 8
80 63 5
80 67 59
59 82 71
33 58 85
94 52 35
2 63 53
46 50 45
94 110 98
87 34 6
84 63 89
105 68 58
86 57 98
27 72 84
60 44 21
64 49 62
4 106 0
43 23 82
22 7 45
77 6 24
53 59 54
24 6 39
40 110 96
74 33 56
100 37 23
111 57 20
93 4 95
53 50 88
61 92 31
12 104 61
7 99 18
7 23 56
1 108 7
64 3 51
54 105 43
105 41 74
31 38 7
40 107 56
14 37 3
94 90 75
60 66 3
67 35 87
94 69 41
46 105 61
49 41 75
24 93 65
19 37 53
93 4 37
58 39 71
106 9 61
99 109 76
64 37 49
86 67 67
1 80 7
94 0 17
48 16 19
34 83 41
63 103 62
7 53 33
6 49 40
72 8 41
67 86 84
57 28 55
74 91 81
44 58 77
21 79 15
13 87 33
1 35 48
95 41 73
103 83 2
80 26 71
41 52 47
52 40 6
93 88 17
90 73 6
107 4 85
24 79 52
0 79 73
18 21 75
53 13 54
6 85 92
61 42 65
53 90 83
42 110 55
47 0 51
29 98 14
94 96 91
64 8 63
0 1 84
89 30 99
57 84 96
93 29 12
6 103 76
84 87 57
88 90 36
54 106 25
68 24 75
13 64 61
47 58 48
60 78 56
108 31 97
23 10 1
99 76 10
108 12 1
36 93 80
111 45 60
85 89 55
91 35 68
39 55 5
33 27 86
53 7 6
84 70 12
52 65 66
63 22 48
90 57 57
38 30 33
28 93 25
24 73 65
22 57 57
22 3 94
60 108 27
10 107 83
31 92 70
21 18 36
34 71 17
92 103 69
66 8 52
39 48 72
84 49 88
1 81 69
104 28 56
40 86 75
83 101 9
107 54 7
68 23 92
46 57 62
92 12 73
61 83 50
64 52 95
81 96 19
109 69 79
43 88 60
72 39 77
92 56 48
22 5 98
24 107 60
6 46 13
64 8 88
88 54 19
79 15 66
41 20 46
30 106 8
47 103 65
105 9 47
88 17 83
92 11 49
34 104 29
50 71 30
83 36 4
41 38 7
65 25 20
47 71 82
26 85 61
53 85 8
83 106 23
34 56 4
1 78 75
69 108 92
82 38 60
5 104 67
106 17 22
43 105 88
45 98 68
44 82 56
68 45 18
74 100 54
81 105 95
12 107 16
77 18 6
80 39 23
75 34 89
49 64 28
73 59 27
69 66 6
102 18 11
85 39 63
22 19 30
40 70 70
53 84 61
5 40 88
39 55 75
49 36 43
69 80 32
53 46 31
65 51 70
25 41 29
57 32 11
91 71 43
109 96 42
110 48 64
58 70 52
64 109 6
51 99 52
44 77 53
82 18 89
74 24 48
7 89 53
78 9 19
109 103 93
15 26 22
58 21 86
58 23 59
36 101 10
12 109 70
104 51 19
51 90 41
62 106 80
59 19 0
50 62 58
1 105 94
108 75 31
10 19 12
63 22 98
67 72 31
8 103 30
80 84 89
12 86 23
77 92 1
51 99 8
82 48 19
53 57 77
69 67 92
97 25 65
11 96 56
55 20 86
32 54 27
74 81 63
50 39 92
108 22 28
66 20 37
70 106 62
29 5 33
10 67 32
75 36 65
13 59 62
90 65 55
0 8 56
38 15 44
2 59 95
54 75 74
54 0 52
83 15 60
35 71 3
30 84 35
88 109 26
44 48 67
55 26 29
27 83 13
23 26 24
61 26 14
91 46 30
35 95 16
53 36 28
86 80 75
65 106 46
1 59 93
50 81 15
83 64 81
79 13 77
62 26 56
0 80 29
35 32 21
105 63 47
49 104 47
39 56 88
78 57 7
51 31 97
89 105 24
110 21 40
104 11 5
111 95 93
67 89 33
16 84 84
74 37 93
54 53 94
110 8 64
30 55 67
8 71 62
13 35 22
99 105 58
14 11 74
86 94 28
30 63 33
42 46 43
40 94 99
28 19 68
89 37 72
95 27 68
97 70 79
98 25 11
62 48 31
91 77 53
46 53 29
77 9 92
65 96 87
39 62 94
111 48 79
31 67 81
99 46 87
51 32 15
30 6 81
38 44 83
96 100 98
109 26 44
58 69 76
99 23 5
33 64 62
4 74 88
60 16 26
35 89 38
86 0 77
35 0 19
46 101 5
19 101 32
8 80 6
3 28 39
59 66 93
69 40 9
50 22 18
97 28 58
63 47 91
87 43 83
52 87 65
38 93 98
51 79 36
76 75 48
27 43 43
28 101 19
45 55 16
59 62 94
71 36 29
70 66 34
91 104 84
43 44 85
33 5 73
0 74 44
2 1 31
105 64 23
63 70 85
30 39 29
31 21 1
9 82 50
31 12 93
56 101 83
97 20 68
0 10 85
37 46 3
58 2 32
9 77 96
27 92 97
59 26 26
17 106 52
24 40 42
33 98 26
107 14 83
9 102 75
59 42 74
11 2 18
50 43 31
44 56 5
77 89 44
77 5 35
44 61 45
60 12 20
1 7 25
101 57 21
95 62 15
10 37 57
99 19 2
104 61 67
62 81 46
86 10 45
67 82 37
21 111 10
19 83 55
46 4 79
21 20 15
90 43 96
97 68 94
75 14 26
79 59 59
59 57 56
109 12 53
