100 2115
91 25 24
79 95 41
80 37 25
41 36 78
57 43 38
5 16 37
78 19 66
92 53 12
44 81 89
1 77 31
90 3 82
99 80 95
41 46 0
7 71 17
69 34 23
99 52 92
51 56 45
49 69 77
69 5 15
96 28 16
60 9 92
7 83 0
1 95 86
99 93 67
20 16 32
94 48 76
24 63 62
94 21 45
15 89 81
55 19 60
10 48 7
20 5 61
21 4 3
18 40 60
1 44 37
50 27 33
71 87 5
5 52 31
74 42 68
16 58 16
83 16 59
62 71 80
68 78 4
56 3 64
77 97 87
28 25 73
21 34 97
37 93 77
71 65 30
30 7 98
18 79 61
86 98 74
88 60 65
12 57 42
53 46 72
76 21 54
24 27 25
62 18 94
36 37 6
57 12 67
10 39 69
0 74 29
51 52 78
13 38 22
24 1 20
91 92 76
26 10 40
14 25 27
49 21 31
85 21 72
30 25 85
96 81 5
47 29 78
25 76 83
69 85 7
96 54 99
22 23 90
57 43 33
91 24 88
27 15 48
23 20 48
41 76 54
38 54 96
41 46 72
60 7 18
50 28 70
38 40 74
8 77 62
8 2 78
51 49 29
90 31 80
77 31 15
50 27 92
36 46 75
24 35 64
35 85 39
43 8 77
32 84 47
23 1 55
83 40 59
93 49 46
89 17 68
59 23 52
93 43 34
64 52 43
9 68 21
70 39 10
81 34 17
60 4 96
71 1 4
25 31 71
33 7 24
17 35 17
14 98 99
48 82 51
60 25 66
92 97 80
15 22 82
69 89 95
68 11 88
54 99 85
13 44 81
24 80 20
7 97 80
68 76 71
21 53 2
28 16 8
70 30 70
91 24 61
68 1 35
38 59 21
19 11 25
82 92 24
66 32 84
78 54 82
66 90 27
46 38 75
59 61 9
85 81 60
89 18 73
8 74 39
87 73 59
66 96 87
0 4 15
26 18 22
35 92 14
66 38 65
55 92 11
27 38 26
6 32 84
6 88 78
47 70 54
13 43 74
62 16 16
51 52 25
72 23 56
79 42 86
50 95 2
52 87 9
61 4 88
18 90 24
70 55 80
87 38 54
11 74 43
51 90 49
26 27 55
85 77 99
27 9 64
83 59 25
0 6 40
39 27 95
5 46 56
82 25 46
15 21 65
69 54 7
40 93 94
12 85 52
49 12 29
31 25 1
11 73 54
14 28 22
70 9 94
36 49 11
19 62 19
72 8 88
7 45 99
54 94 83
6 95 85
65 89 97
40 10 2
4 47 52
86 61 27
45 68 47
78 32 15
4 65 76
60 93 90
78 69 20
74 56 54
66 37 67
46 34 77
45 26 80
94 52 61
20 27 68
84 63 51
36 9 20
58 69 92
77 34 90
10 95 95
43 14 57
47 53 19
85 0 80
7 2 71
26 37 22
10 12 17
58 74 22
98 76 63
50 83 65
26 46 51
13 60 8
2 96 93
72 68 7
0 6 68
64 39 68
11 59 79
55 16 51
4 38 56
53 67 69
64 99 70
17 50 36
10 15 5
88 89 11
25 64 14
54 90 64
36 97 78
29 47 19
85 90 22
53 89 42
99 40 48
9 62 43
74 81 65
4 9 35
65 70 2
63 1 77
1 49 15
70 54 54
41 78 52
7 98 10
5 56 35
80 87 70
62 17 24
51 72 59
12 91 87
30 92 5
82 36 73
66 17 5
76 27 45
49 5 50
94 29 62
39 62 82
56 10 14
66 26 51
23 63 87
43 5 54
70 65 40
69 41 94
40 94 95
59 45 84
51 68 37
83 10 54
88 4 85
97 78 79
91 5 95
58 13 43
81 27 25
45 80 53
95 54 90
19 75 23
78 59 11
79 50 11
36 82 50
39 48 87
46 19 63
12 32 22
16 15 61
36 47 9
4 37 39
21 95 96
11 91 98
37 21 19
70 68 11
68 11 6
69 26 82
3 85 49
4 74 83
71 57 91
71 12 58
59 50 23
87 79 50
22 48 84
97 71 31
75 17 97
96 62 65
22 1 5
12 22 57
80 8 98
91 94 62
96 43 43
97 91 53
87 13 71
11 50 63
73 83 20
31 94 17
74 85 22
23 99 72
4 83 30
85 2 37
65 28 6
58 15 86
36 81 48
44 91 38
89 35 63
1 31 41
2 72 8
84 14 9
93 78 67
35 56 94
66 24 77
93 85 5
40 76 40
34 3 90
85 4 94
54 72 37
53 89 69
28 25 66
42 38 74
38 86 81
93 15 28
31 93 76
98 94 22
59 29 88
14 24 22
58 77 86
12 0 20
29 85 48
49 95 30
42 93 31
38 64 82
48 43 70
78 30 37
11 73 96
77 56 63
54 86 69
93 33 35
57 22 17
79 93 0
12 79 94
81 6 94
86 19 89
23 50 70
78 53 46
9 73 3
17 58 43
12 63 20
34 4 97
35 87 86
52 93 47
95 78 91
39 83 26
28 82 28
94 75 41
82 84 53
28 35 95
57 88 28
81 32 57
9 2 85
57 59 83
33 90 99
48 41 69
84 87 88
0 70 11
17 83 9
21 18 20
56 63 42
96 31 87
82 42 17
27 46 39
49 7 16
8 55 50
74 1 58
43 32 62
13 64 22
84 14 21
60 49 0
20 29 81
45 65 77
46 72 90
1 67 70
56 38 69
32 56 70
22 5 84
44 96 45
70 40 79
96 8 82
51 6 99
20 48 97
79 63 15
6 75 99
22 6 50
70 25 80
9 82 82
39 35 96
14 50 72
62 92 56
62 82 98
2 63 85
92 60 96
94 83 19
2 79 95
94 65 70
76 5 5
5 54 63
68 4 40
40 42 80
13 41 27
50 78 92
13 91 11
53 94 67
37 75 36
29 84 66
0 72 67
49 17 31
13 63 75
99 11 43
93 35 80
40 87 95
12 68 44
74 54 33
23 98 97
86 85 61
74 85 57
16 8 57
8 57 13
31 8 66
65 7 68
2 14 60
5 33 27
70 16 75
49 67 1
10 35 92
80 87 13
31 50 0
21 70 35
37 3 72
7 73 12
48 15 21
90 38 19
55 51 26
10 5 11
16 10 45
39 82 85
48 12 85
93 63 17
95 53 66
63 38 4
96 43 70
67 69 81
97 11 55
8 0 13
60 37 39
43 61 33
70 64 35
56 19 12
4 48 99
46 9 28
92 27 79
66 81 95
17 23 70
34 27 2
52 34 48
62 65 29
3 78 17
7 45 12
64 28 92
43 32 19
87 79 3
51 69 33
86 8 89
47 36 1
32 45 62
36 94 79
78 22 82
85 75 47
40 26 1
34 26 60
28 7 97
47 26 30
63 36 51
45 1 10
12 94 93
2 30 75
97 56 16
71 16 10
69 86 70
43 89 12
72 25 77
6 3 85
98 10 69
68 29 7
42 76 66
30 92 71
73 84 98
57 70 39
91 9 77
19 43 90
92 23 84
96 82 13
19 73 26
73 67 23
88 61 50
76 25 89
99 98 89
62 23 21
82 72 64
26 44 27
33 21 52
30 95 59
86 32 91
62 59 9
8 75 89
63 36 7
65 66 71
86 59 81
46 4 44
49 75 41
19 29 82
57 18 31
17 33 83
62 82 73
16 83 97
55 50 2
73 85 91
31 56 95
27 26 22
76 94 97
88 51 0
41 57 69
69 37 30
34 88 75
72 74 74
79 62 43
73 77 7
37 95 91
77 26 74
53 0 47
21 30 74
55 12 8
43 91 35
59 97 83
17 91 22
13 68 57
15 4 32
33 41 64
16 81 91
1 30 1
50 42 71
94 82 33
96 13 78
24 68 83
80 70 6
47 38 37
23 81 0
60 73 81
59 22 11
23 99 86
84 98 62
48 80 7
32 25 26
57 44 19
65 63 49
21 30 87
11 62 66
38 28 41
98 29 54
90 43 71
87 43 21
36 80 34
55 91 88
55 40 67
56 10 81
53 21 67
47 74 82
74 78 26
48 65 49
58 81 97
25 98 35
30 3 36
86 64 53
99 97 35
96 52 15
22 97 87
83 16 64
24 21 87
59 88 8
70 56 91
56 86 76
41 1 42
96 78 78
29 89 35
16 2 52
47 48 26
89 26 88
28 73 33
55 74 84
15 4 55
25 61 63
99 41 82
3 84 18
73 3 26
60 23 98
62 51 12
19 40 42
49 35 82
54 56 74
85 96 11
77 18 83
15 30 19
46 38 98
7 1 26
99 25 67
68 53 48
68 80 1
98 99 79
82 51 59
5 4 23
88 14 14
93 13 95
11 3 52
74 57 37
3 9 67
25 58 69
98 93 66
88 83 1
61 29 95
76 87 88
44 14 73
61 76 61
16 59 19
80 78 42
90 70 62
70 47 91
26 75 61
81 78 6
94 18 59
18 28 38
54 83 45
21 44 68
41 34 79
4 10 47
51 60 32
0 58 64
83 48 82
0 82 96
53 82 98
71 59 29
40 71 33
18 52 41
85 51 31
47 63 45
16 79 31
78 95 25
60 32 70
16 9 54
30 89 71
56 30 40
32 79 39
76 31 40
89 45 64
1 9 90
11 22 36
21 37 81
47 40 91
65 17 34
0 45 31
14 18 97
47 20 61
0 73 53
16 32 75
46 73 51
31 22 63
11 83 29
50 25 56
64 20 67
16 62 40
11 67 10
20 16 81
64 35 87
23 98 85
5 43 79
47 65 14
75 44 57
68 74 67
69 11 75
90 2 18
37 67 42
93 61 29
1 3 55
39 38 3
99 53 36
40 29 12
35 44 49
69 19 52
68 82 14
27 16 70
55 20 47
10 27 77
71 32 1
66 42 51
11 55 89
17 71 96
91 15 0
63 64 51
81 67 89
20 64 15
51 38 17
94 27 89
86 15 80
5 11 90
0 91 6
38 28 97
89 38 47
62 5 84
29 87 85
70 41 51
61 56 49
92 39 33
28 47 8
16 97 59
66 74 54
38 20 67
35 94 11
93 29 83
44 25 28
78 73 1
1 91 72
98 8 37
80 59 59
37 70 3
3 6 83
28 73 83
1 93 93
95 75 17
46 75 99
47 91 57
16 46 36
87 41 11
18 98 16
82 69 70
51 13 16
78 97 89
9 39 9
34 38 47
61 34 8
28 43 90
22 9 73
8 46 84
10 2 96
49 85 44
0 24 90
54 23 85
71 49 57
51 73 76
31 90 5
75 44 68
82 62 26
48 93 28
62 54 33
47 84 82
84 69 18
27 71 74
80 3 90
1 67 72
96 69 63
45 90 72
74 61 38
55 86 72
80 61 50
37 16 38
81 23 84
68 69 57
26 77 72
46 13 37
30 81 33
51 78 50
17 54 74
49 29 97
54 45 93
4 17 97
99 44 26
59 54 87
0 31 79
66 68 6
84 97 24
54 0 77
80 29 5
55 84 81
84 83 13
69 0 38
1 23 10
48 91 74
79 25 17
54 12 39
28 26 94
81 83 23
58 8 92
32 20 47
32 81 44
96 90 32
26 98 34
18 19 30
32 20 85
71 56 96
68 98 3
80 36 11
88 58 87
5 67 87
16 93 83
37 33 70
51 89 22
29 60 31
22 65 59
7 23 5
5 64 0
87 59 78
82 37 47
80 97 75
34 77 8
44 34 70
76 64 88
9 58 67
83 32 60
21 27 20
87 59 11
30 46 19
26 61 35
0 74 26
11 51 13
84 24 22
73 78 71
79 2 64
37 84 58
51 83 83
16 66 17
17 36 34
83 6 71
41 76 80
83 87 80
27 66 97
38 25 84
95 47 42
24 49 69
52 94 43
76 74 79
47 34 7
30 28 40
66 27 89
32 9 19
94 74 91
71 19 3
10 14 40
33 61 50
81 10 27
91 12 47
87 59 68
6 97 22
40 39 73
81 58 72
34 22 53
36 85 23
7 38 53
0 69 35
57 40 12
9 25 13
62 32 9
32 12 72
74 11 95
93 31 97
95 75 33
76 92 78
31 90 81
17 58 50
58 71 61
83 29 6
85 20 37
64 68 26
20 56 76
47 76 3
39 23 81
14 21 20
89 39 69
81 84 76
73 68 67
59 34 30
13 16 41
91 62 97
61 50 80
20 17 24
87 49 20
72 85 17
80 82 41
66 10 38
56 14 42
41 24 27
93 48 92
35 31 15
72 7 7
51 97 54
67 16 71
2 63 7
22 66 82
13 47 43
4 32 16
57 95 98
3 36 1
9 77 81
80 38 58
39 21 83
1 56 11
75 61 41
88 35 40
41 86 68
5 62 68
25 97 53
68 32 7
58 85 41
56 57 70
50 89 64
97 89 36
53 10 16
15 78 96
88 93 24
86 98 39
38 16 63
83 60 73
34 99 44
25 40 8
84 60 31
99 10 34
80 85 46
98 64 16
30 61 26
49 20 96
3 25 4
19 62 73
9 58 8
85 47 5
65 42 58
35 65 26
42 28 58
65 7 4
13 87 4
38 44 13
25 1 64
39 14 29
80 19 47
42 54 87
30 90 41
81 51 87
65 84 75
95 43 87
12 72 21
50 1 68
42 45 39
73 27 45
88 75 15
46 79 2
8 55 97
71 7 50
63 36 77
43 98 52
45 12 40
58 87 75
20 56 50
28 58 76
38 35 97
83 75 94
69 82 43
16 53 24
68 40 62
62 99 21
86 90 94
36 49 17
83 96 94
83 18 31
22 98 95
77 93 51
74 58 93
53 1125
15 3 30
3 0 4
25 27 5
41 4 70
22 52 50
33 30 54
20 52 29
22 17 59
24 16 10
35 25 66
36 44 18
44 29 6
2 37 42
12 8 82
51 30 78
12 34 23
8 32 88
26 34 53
19 32 12
22 52 80
1 9 44
46 45 6
47 52 76
3 5 50
2 37 19
3 29 94
45 40 77
40 7 0
25 40 0
21 44 83
5 14 49
33 14 37
23 29 8
2 23 24
49 31 20
20 37 10
47 52 9
24 17 82
49 15 90
31 52 18
17 16 32
32 34 23
9 0 66
36 46 87
17 5 57
22 29 67
5 32 35
43 17 29
41 1 77
24 11 36
10 9 41
19 8 22
40 35 94
32 13 23
0 51 4
17 28 80
43 27 61
20 18 37
18 47 77
33 52 35
48 40 78
19 32 87
46 18 56
24 18 15
2 48 96
42 9 87
26 0 83
22 42 71
21 44 86
13 29 96
6 29 82
36 35 78
8 2 46
47 34 65
46 33 37
40 36 17
35 28 23
51 31 77
15 40 8
1 42 61
2 38 75
30 44 23
24 12 30
14 48 95
25 4 16
21 10 95
22 21 99
8 10 66
46 45 28
47 52 53
32 29 96
15 42 68
3 24 14
30 13 5
44 1 35
45 46 22
47 29 88
13 40 91
34 17 12
38 6 38
42 35 30
43 23 42
42 15 33
24 51 71
22 18 49
52 40 57
7 6 81
13 36 4
19 16 8
9 27 46
8 41 56
52 7 21
30 21 89
4 34 99
15 48 49
11 7 64
1 25 29
36 31 2
45 3 34
47 9 52
22 26 53
14 40 65
50 28 64
41 26 73
3 20 21
33 38 63
32 52 55
2 44 36
8 47 38
10 13 70
52 49 84
8 4 61
48 47 21
46 24 42
1 31 22
37 23 18
33 25 28
15 24 59
40 47 32
40 33 38
28 43 40
2 24 8
13 9 0
46 0 24
5 25 26
5 6 84
33 6 50
48 8 95
39 32 86
12 43 57
37 40 91
36 18 8
15 14 42
46 41 47
22 24 73
39 9 14
51 33 48
52 1 28
14 18 5
8 50 31
24 16 22
5 0 87
24 39 87
7 26 70
35 39 66
38 50 97
45 35 53
8 33 63
42 46 10
40 48 93
49 33 19
14 36 44
19 51 42
16 52 80
17 8 71
34 10 46
23 49 72
9 46 50
37 44 55
35 16 85
24 37 19
22 52 13
36 14 99
45 10 16
9 48 36
27 20 23
44 51 39
18 20 68
20 37 63
45 25 13
50 27 29
50 24 40
5 47 36
31 43 22
49 1 53
47 29 59
8 16 68
46 33 17
24 19 19
24 0 17
20 16 93
9 37 59
36 16 9
7 28 76
20 12 42
5 9 66
28 1 51
10 1 96
51 42 79
19 17 65
26 4 0
23 9 48
44 17 88
22 31 68
24 10 95
